Actual,Prediction
"['downy liquid fabric conditioner', 'downy odor', 'downy wrinkle guard', 'downy nature blends', 'bounce/downy sheets', 'bounce/downy wrinkle guard', 'scent boosters', 'downy unstopables', 'downy libre enjuague', 'gain fireworks']","['Downy Liquid Fabric Conditioner', 'Downy Odor', 'Downy Wrinkle Guard', 'Downy Nature Blends', 'Bounce/Downy Sheets', 'Bounce/Downy Wrinkle Guard', 'Scent Boosters', 'Downy Unstopables', 'Downy Libre Enjuague', 'Gain Fireworks']"
"['tide pods', 'tide power pods', 'tide liquid/powder laundry detergent', 'tide pods']","['Tide PODS', 'Tide Power PODS', 'Tide Liquid/Powder Laundry Detergent']"
"['tide laundry detergent', 'tide purclean laundry detergent', 'tide laundry detergent', 'tide pods', 'tide rescue', 'laundry detergent', 'tide detergent']","['Tide Laundry Detergent', 'Tide Purclean Laundry Detergent', 'Tide PODS', 'Tide Rescue', 'Tide Detergent']"
['flavor/variety general mills cereal'],['flavor/variety General Mills cereal']
['pepperidge farm® farmhouse buns'],['Pepperidge Farm® Farmhouse buns']
"['chips ahoy', 'nutter butter cookies']","['CHIPS AHOY', 'NUTTER BUTTER Cookies']"
['nature valley™ granola'],['Nature Valley™ Granola']
['natural cheese slices'],['Natural Cheese Slices']
"['oikos greek yogurt cup', 'oikos triple zero']","['Oikos Greek Yogurt Cup', 'Oikos Triple Zero']"
"['small bag', ""o'clock® coffee"", 'barista blends']","['SMALL bag', ""O'Clock® Coffee"", 'Barista Blends']"
"['laundry detergent', 'downy liquid fabric conditioner', 'bounce/downy sheets', 'in-wash scent boosters', 'era laundry detergent', 'downy unstopables', 'bounce/downy wrinkle guard sheets', 'downy libre enjuague', 'gain fireworks']","['Laundry Detergent', 'Downy Liquid Fabric Conditioner', 'Bounce/Downy Sheets', 'In-Wash Scent Boosters', 'ERA Laundry Detergent', 'Downy Unstopables', 'Bounce/Downy Wrinkle Guard Sheets', 'Downy Libre Enjuague', 'Gain Fireworks']"
['flavor/variety betty crocker™ fruit shapes'],['flavor/variety Betty Crocker™ Fruit Shapes']
"['frigo® cheese heads® 8ct', 'snack cheese product']","['Frigo® Cheese Heads® 8ct', 'Snack Cheese Product']"
"['pace® salsa', 'picante sauce']","['Pace® Salsa', 'Picante Sauce']"
['noosa® yoghurts'],['noosa® yoghurts']
['gardein™ frozen item'],['Gardein™ Frozen Item']
"['gain flings', 'gain liquid laundry detergent', 'gain botanicals', 'essential oils', 'gain powder laundry detergent', 'gain ultra flings', 'gain fabric enhancers', 'gain fireworks', 'gain flings']","['Gain Flings', 'Gain Liquid Laundry Detergent', 'Gain Botanicals', 'Essential Oils', 'Gain Powder Laundry Detergent', 'Gain Ultra Flings', 'Gain Fabric Enhancers', 'Gain Fireworks']"
['energizer® batteries'],['Energizer® Batteries']
"['purina® beggin®', 'dentalife® dog treats']","['Purina® Beggin®', 'DentaLife® Dog Treats']"
['pine-sol® product'],['Pine-Sol® product']
['flavor/variety cascadian farm™ cereal'],['flavor/variety Cascadian Farm™ Cereal']
['crunchy crunchmaster® crackers'],['crunchy Crunchmaster® Crackers']
"['dreft newborn laundry detergent', 'active baby laundry detergent', 'pure gentleness laundry detergent']","['Dreft Newborn Laundry Detergent', 'Active Baby Laundry Detergent', 'Pure Gentleness Laundry Detergent']"
"['happy baby organics', 'happy tot organics pouches']","['Happy Baby Organics', 'Happy Tot Organics pouches']"
"[""udi's® frozen item""]","[""Udi's® Frozen Item""]"
"['downy liquid fabric conditioner 48ld', 'downy odor', 'downy wrinkle guard 25oz', 'downy nature blends', 'bounce/downy sheets 70ct', 'bounce/downy wrinkle guard 40ct', 'scent boosters 5.7oz', 'downy unstopables', 'rapid touch-up', 'downy wrinkle releaser spray', 'downy libre enjuague']","['Downy Liquid Fabric Conditioner 48ld', 'Downy Odor', 'Downy Wrinkle Guard 25oz', 'Downy Nature Blends', 'Bounce/Downy Sheets 70ct', 'Bounce/Downy Wrinkle Guard 40ct', 'Scent Boosters 5.7oz', 'Downy Unstopables', 'Rapid Touch-up', 'Downy Wrinkle Releaser Spray', 'Downy Libre Enjuague']"
"['gain liquid fabric softener', 'gain botanicals', 'gain fireworks', 'scent boosters', 'gain dryer sheets', 'gain flings', 'gain detergent']","['Gain Liquid Fabric Softener', 'Gain Botanicals', 'Gain Fireworks', 'Scent Boosters', 'Gain Dryer Sheets', 'Gain Flings', 'Gain Detergent']"
['tillamook® ice cream product'],['Tillamook® Ice Cream Product']
"['benadryl® 20ct', '4oz product']","['BENADRYL® 20ct', '4oz product']"
"['oral-b glide', 'manual floss', 'interdental brush']","['Oral-B Glide', 'Manual Floss', 'Interdental Brush']"
[],[]
['prilosec otc product'],['Prilosec OTC Product']
"['’ s chocolate', 'chocolate candy']","['’s Chocolate', 'Chocolate Candy']"
"['laundry detergent', 'era laundry detergent', 'tide detergent', 'tide pods']","['Laundry Detergent', 'ERA Laundry Detergent', 'Tide Detergent', 'Tide PODS']"
[],[]
"['tampax pearl', 'pure tampons']","['Tampax Pearl', 'PURE Tampons']"
['adult zyrtec® product'],['Adult ZYRTEC® product']
"['pure cotton', 'maxi pads']","['Pure Cotton', 'Maxi Pads']"
"['® product', '® products']","['® Product&nbsp;(Excludes Club', '® Products']"
"['glade® 3-wick candles', 'twin pack 3.4oz candles', 'oil refill pack', 'large automatic refills', '3.4oz candles', 'oil warmer']","['Twin Pack 3.4oz Candles', 'Oil Refill Pack', 'Large Automatic Refills', 'Oil Warmer']"
"['multipack sheba®', 'perfect portions™ premium cat food']","['multipack SHEBA®', 'PERFECT PORTIONS™ Premium Cat Food']"
"['crest gum detoxify', 'enamel repair']","['Crest Gum Detoxify', 'Enamel Repair']"
['pull-ups® training pants'],['PULL-UPS® Training Pants']
"['allegra® allergy 24ct', ""children 's allegra® product""]","['Allegra® Allergy 24ct', ""Children's Allegra® Product""]"
"['gain flings', 'gain ultra flings', 'gain liquid/powder laundry detergent', 'gain fabric enhancers', 'gain fireworks', 'gain flings']","['Gain Flings', 'Gain Ultra Flings', 'Gain Liquid/Powder Laundry Detergent', 'Gain Fabric Enhancers', 'Gain Fireworks']"
"['tide purclean laundry detergent', 'tide laundry detergent', 'tide detergent', 'tide pods', 'tide rescue', 'laundry detergent', 'tide detergent']","['Tide Purclean Laundry Detergent', 'Tide Detergent', 'Tide PODS', 'Tide Rescue', 'Tide Detergent']"
"['starbucks® k-cup® coffee', 'essential vitamins', 'golden turmeric', '2x caffeine product']","['Starbucks® K-Cup® Coffee', 'Essential Vitamins', 'Golden Turmeric', '2X Caffeine Product']"
[],[]
"['dreft blissfuls', 'scent boosters']","['Dreft Blissfuls', 'Scent Boosters']"
['nexium® 24hr 28ct'],['Nexium® 24HR 28ct']
['aleve®pm product 40ct'],['Aleve®PM product 40ct']
"['discreet incontinence product', 'discreet boutique']","['DISCREET Incontinence Product', 'Discreet Boutique']"
"['all-natural poultry patties', 'ground chicken']","['All-Natural Poultry Patties', 'Ground Chicken']"
['disposable swimpants'],['Disposable Swimpants']
"['tide antibacterial spray', 'tide stain pen', 'tide rescue', 'tide laundry detergent', 'tide pods']","['Tide Antibacterial Spray', 'Tide Stain Pen', 'Tide Rescue', 'Tide Laundry Detergent', 'Tide PODS']"
"['poise® ultra', 'thin pads', 'active collection® pads', 'reg pack', 'poise® pads', 'impressa® products']","['POISE® Ultra', 'Thin Pads', 'Active Collection® Pads', 'Reg Pack', 'Poise® Pads', 'Impressa® Products']"
['pull-ups® training pants'],['PULL-UPS® Training Pants']
['venus razor'],['Venus Razor']
"['tide detergent', 'tide pods']","['Tide detergent', 'Tide PODS']"
"['claritin® tabs', 'liqui-gels® 60ct']","['Claritin® Tabs', 'Liqui-Gels® 60ct']"
['colgate® optic white® renewal toothpaste'],['Colgate® Optic White® Renewal Toothpaste']
['dark chocolate dessert dip'],['Dark Chocolate Dessert Dip']
"[""ck 's ice cream""]","[""N!ck's Ice Cream""]"
"[""children 's claritin® syrup 4oz""]","[""Children's Claritin® Syrup 4oz""]"
"['essential oils product', 'raid® club']",['Essential Oils Product&nbsp;(Excludes Raid® Club']
['osteo bi-flex® product'],['Osteo Bi-Flex® product']
['discreet boutique product'],['DISCREET Boutique Product']
['sabra® veggie dip'],['Sabra® Veggie Dip']
['florastor product'],['Florastor product']
"[""reser 's deli sides 12-14oz item""]","[""Reser's Deli Sides 12-14oz Item""]"
['nutro™ wholesome essentials™ dry cat food bag'],['NUTRO™ WHOLESOME ESSENTIALS™ Dry Cat Food bag']
"['oral-b vitality', 'rechargeable electric toothbrush']","['Oral-B Vitality', 'Rechargeable Electric Toothbrush']"
['olay facial moisturizer'],['Olay Facial Moisturizer']
['burts bees adult toothpaste'],['Burts Bees Adult Toothpaste']
['venus blade refill'],['Venus Blade Refill']
"['high endurance', 'body spray', 'invisible spray']","['High Endurance', 'Body Spray', 'Invisible Spray']"
['olay facial cleanser'],['Olay Facial Cleanser']
['burts bees kids toothpaste'],['Burts Bees Kids Toothpaste']
['gillette blade refill'],['Gillette Blade Refill']
['venus products'],['Venus Products']
"['gillette razor', 'venus products']","['Gillette Razor', 'Venus Products']"
[],[]
['natural cheese slices'],['Natural Cheese Slices']
"['pace® salsa', 'picante sauce']","['Pace® Salsa', 'Picante Sauce']"
"['free seg mac', 'spam® 12oz products', 'free seg mac', 'value $']","['FREE SEG MAC', 'SPAM® 12oz products', 'FREE SEG MAC', 'Value']"
"['gain flings', 'gain liquid laundry detergent', 'gain botanicals', 'essential oils', 'gain powder laundry detergent', 'gain ultra flings', 'gain fabric enhancers', 'gain fireworks', 'gain flings']","['Gain Flings', 'Gain Liquid Laundry Detergent', 'Gain Botanicals', 'Essential Oils', 'Gain Powder Laundry Detergent', 'Gain Ultra Flings', 'Gain Fabric Enhancers', 'Gain Fireworks']"
"['crest toothpaste', 'oz crest cavity', 'tartar control/protection', 'w pep gleem', 'gum detoxify', 'gum enamel variants', 'therapy variants']","['Crest Toothpaste', 'oz Crest Cavity', 'Tartar Control/Protection', 'F&amp;W Pep Gleem', 'Gum Detoxify', 'Gum Enamel variants', 'Therapy variants']"
"['tide laundry detergent', 'tide purclean laundry detergent', 'tide laundry detergent', 'tide pods', 'tide rescue', 'laundry detergent', 'tide detergent']","['Tide Laundry Detergent', 'Tide Purclean Laundry Detergent', 'Tide PODS', 'Tide Rescue', 'Tide Detergent']"
"['starbucks® nitro', 'cold brew', 'starbucks® frappucino', 'oz bottle']","['Starbucks® Nitro', 'Cold Brew', 'Starbucks® Frappucino', 'oz bottle']"
"['downy liquid fabric conditioner 48ld', 'downy odor', 'downy wrinkle guard 25oz', 'downy nature blends', 'bounce/downy sheets 70ct', 'bounce/downy wrinkle guard 40ct', 'scent boosters 5.7oz', 'downy unstopables', 'rapid touch-up', 'downy wrinkle releaser spray', 'downy libre enjuague']","['Downy Liquid Fabric Conditioner 48ld', 'Downy Odor', 'Downy Wrinkle Guard 25oz', 'Downy Nature Blends', 'Bounce/Downy Sheets 70ct', 'Bounce/Downy Wrinkle Guard 40ct', 'Scent Boosters 5.7oz', 'Downy Unstopables', 'Rapid Touch-up', 'Downy Wrinkle Releaser Spray', 'Downy Libre Enjuague']"
"['pure cotton', 'maxi pads']","['Pure Cotton', 'Maxi Pads']"
"['laundry detergent', 'downy liquid fabric conditioner', 'bounce/downy sheets', 'in-wash scent boosters', 'era laundry detergent', 'downy unstopables', 'bounce/downy wrinkle guard sheets', 'downy libre enjuague', 'gain fireworks']","['Laundry Detergent', 'Downy Liquid Fabric Conditioner', 'Bounce/Downy Sheets', 'In-Wash Scent Boosters', 'ERA Laundry Detergent', 'Downy Unstopables', 'Bounce/Downy Wrinkle Guard Sheets', 'Downy Libre Enjuague', 'Gain Fireworks']"
['energizer® batteries'],['Energizer® Batteries']
"['frigo® cheese heads® 8ct', 'snack cheese product']","['Frigo® Cheese Heads® 8ct', 'Snack Cheese Product']"
"['high endurance', 'body spray', 'invisible spray']","['High Endurance', 'Body Spray', 'Invisible Spray']"
"['tide pods', 'tide power pods', 'tide liquid/powder laundry detergent', 'tide pods']","['Tide PODS', 'Tide Power PODS', 'Tide Liquid/Powder Laundry Detergent']"
"['tampax pearl', 'pure tampons']","['Tampax Pearl', 'PURE Tampons']"
"['glade® 3-wick candles', 'twin pack 3.4oz candles', 'oil refill pack', 'large automatic refills', '3.4oz candles', 'oil warmer']","['Twin Pack 3.4oz Candles', 'Oil Refill Pack', 'Large Automatic Refills', 'Oil Warmer']"
['noosa® yoghurts'],['noosa® yoghurts']
"['downy liquid fabric conditioner', 'downy odor', 'downy wrinkle guard', 'downy nature blends', 'bounce/downy sheets', 'bounce/downy wrinkle guard', 'scent boosters', 'downy unstopables', 'downy libre enjuague', 'gain fireworks']","['Downy Liquid Fabric Conditioner', 'Downy Odor', 'Downy Wrinkle Guard', 'Downy Nature Blends', 'Bounce/Downy Sheets', 'Bounce/Downy Wrinkle Guard', 'Scent Boosters', 'Downy Unstopables', 'Downy Libre Enjuague', 'Gain Fireworks']"
"['purina® beggin®', 'dentalife® dog treats']","['Purina® Beggin®', 'DentaLife® Dog Treats']"
['life cereal'],['Life cereal']
['crunchy crunchmaster® crackers'],['crunchy Crunchmaster® Crackers']
"['happy baby organics', 'happy tot organics pouches']","['Happy Baby Organics', 'Happy Tot Organics pouches']"
"['gain liquid fabric softener', 'gain botanicals', 'gain fireworks', 'scent boosters', 'gain dryer sheets', 'gain flings', 'gain detergent']","['Gain Liquid Fabric Softener', 'Gain Botanicals', 'Gain Fireworks', 'Scent Boosters', 'Gain Dryer Sheets', 'Gain Flings', 'Gain Detergent']"
['pine-sol® product'],['Pine-Sol® product']
"['keebler® caramel nut dreams', 'coconut dreams', 'strawberry shortcake', 'hot fudge sundae cookies']","['Keebler® Caramel Nut Dreams', 'Coconut Dreams', 'Strawberry Shortcake', 'Hot Fudge Sundae cookies']"
"['oral-b glide', 'manual floss', 'interdental brush']","['Oral-B Glide', 'Manual Floss', 'Interdental Brush']"
"['benadryl® 20ct', '4oz product']","['BENADRYL® 20ct', '4oz product']"
['pull-ups® training pants'],['PULL-UPS® Training Pants']
"[""reser 's deli sides 12-14oz item""]","[""Reser's Deli Sides 12-14oz Item""]"
['el monterey® single'],['El Monterey® Single']
"['discreet incontinence product', 'discreet boutique']","['DISCREET Incontinence Product', 'Discreet Boutique']"
['venus products'],['Venus Products']
"['good foods guacamole', 'dairy dip']","['GOOD FOODS Guacamole', 'Dairy Dip']"
['aleve®pm product 40ct'],['Aleve®PM product 40ct']
['snack crackers caddy pack'],['Snack Crackers Caddy Pack']
"['laundry detergent', 'era laundry detergent', 'tide detergent', 'tide pods']","['Laundry Detergent', 'ERA Laundry Detergent', 'Tide Detergent', 'Tide PODS']"
"['® product', '® products']","['® Product(Excludes Club', '® Products']"
[],[]
['olay facial cleanser'],['Olay Facial Cleanser']
['prilosec otc product'],['Prilosec OTC Product']
['gillette blade refill'],['Gillette Blade Refill']
"['gain flings', 'gain ultra flings', 'gain liquid/powder laundry detergent', 'gain fabric enhancers', 'gain fireworks', 'gain flings']","['Gain Flings', 'Gain Ultra Flings', 'Gain Liquid/Powder Laundry Detergent', 'Gain Fabric Enhancers', 'Gain Fireworks']"
['pull-ups® training pants'],['PULL-UPS® Training Pants']
"['crest gum detoxify', 'enamel repair']","['Crest Gum Detoxify', 'Enamel Repair']"
"['gillette razor', 'venus products']","['Gillette Razor', 'Venus Products']"
"['’ s chocolate', 'chocolate candy']","['’s Chocolate', 'Chocolate Candy']"
['adult zyrtec® product'],['Adult ZYRTEC® product']
"['allegra® allergy 24ct', ""children 's allegra® product""]","['Allegra® Allergy 24ct', ""Children's Allegra® Product""]"
"['dreft newborn laundry detergent', 'active baby laundry detergent', 'pure gentleness laundry detergent']","['Dreft Newborn Laundry Detergent', 'Active Baby Laundry Detergent', 'Pure Gentleness Laundry Detergent']"
['variety 11oz'],['variety 11oz']
"['multipack sheba®', 'perfect portions™ premium cat food']","['multipack SHEBA®', 'PERFECT PORTIONS™ Premium Cat Food']"
['olay facial moisturizer'],['Olay Facial Moisturizer']
['venus razor'],['Venus Razor']
[],[]
['disposable swimpants'],['Disposable Swimpants']
['osteo bi-flex® product'],['Osteo Bi-Flex® product']
['nexium® 24hr 28ct'],['Nexium® 24HR 28ct']
['venus blade refill'],['Venus Blade Refill']
['colgate® optic white® renewal toothpaste'],['Colgate® Optic White® Renewal Toothpaste']
"[""children 's claritin® syrup 4oz""]","[""Children's Claritin® Syrup 4oz""]"
['nutro™ wholesome essentials™ dry cat food bag'],['NUTRO™ WHOLESOME ESSENTIALS™ Dry Cat Food bag']
['florastor product'],['Florastor product']
"['oral-b vitality', 'rechargeable electric toothbrush']","['Oral-B Vitality', 'Rechargeable Electric Toothbrush']"
['open nature product'],['Open Nature Product']
['bakery department purchase'],['Bakery Department Purchase']
['frozen aisle purchase'],['Frozen Aisle Purchase']
['department purchase'],['Department Purchase']
['golden ripe bananas plu'],['Golden Ripe Bananas PLU']
['select refreshe water 24-pack'],['SELECT refreshe Water 24-pack']
['calidad tortilla chips'],['Calidad Tortilla Chips']
['chobani greek yogurt 5.3-oz'],['Chobani Greek Yogurt 5.3-oz']
[],[]
['lucerne butter 16-oz'],['Lucerne Butter 16-oz']
['super yellow corn tortillas 24-ct'],[]
['barilla pasta'],['Barilla Pasta']
['*standard exclusions'],['*Standard exclusions']
"['visa® gift cards', 'visa® gift cards']",['Visa® Gift Cards']
['signature farms romaine hearts 3-ct. limit'],['Signature Farms Romaine Hearts 3-ct. Limit']
['fresh cravings dip 8-10-oz'],['Fresh Cravings Dip 8-10-oz']
['litehouse® organic'],['Litehouse® Organic']
['caspers franks 16-oz'],['Caspers Franks 16-oz']
"['aidells gourmet chicken sausage', 'aidells meatballs']","['Aidells Gourmet Chicken Sausage', 'Aidells meatballs']"
"['signature farms', 'lean ground beef mega-pack']","['Signature Farms', 'Lean Ground Beef Mega-pack']"
['meal kits 22.2-32.5-oz'],['22.2-32.5-oz']
"['tazo tea 75-100-ct. lipton', '20-ct. tazo']","['Tazo Tea 75-100-ct. Lipton', '20-ct. Tazo']"
['glacéau smartwater sport 700-ml'],['Glacéau smartwater Sport 700-ml']
['orange juice 52-oz'],['Orange Juice 52-oz']
['7-up 2-ltr'],['7-UP 2-ltr']
['gatorade 8-pk.'],['Gatorade 8-pk.']
"['dr pepper', 'cream ...', 'diet dr. pepper', 'cream soda', 'free ...']","['Dr Pepper', 'Cream', 'Diet Dr. Pepper', 'Cream Soda', 'FREE']"
['san pellegrino soda 6-pk.'],['San Pellegrino Soda 6-pk.']
"['select apple juice', 'lemonade 64-oz']","['SELECT Apple Juice', 'Lemonade 64-oz']"
"['green mountain coffee roasters', 'original donut shop', '12-32-ct. k-cup pods']","['Green Mountain Coffee Roasters', 'Original Donut Shop', '12-32-ct. k-cup pods']"
['kevita® bottles'],['KeVita® bottles']
"['naked® juice', '15.2oz naked® juice bottles']","['Naked® Juice', '15.2oz Naked® Juice bottles']"
"['hint® water', 'hint® water']",['Hint® Water']
"['arrowhead® brand water', 'arrowhead® spring water case ...']","['Arrowhead® Brand Water', 'Arrowhead® Spring Water Case']"
"['starbucks® ground coffee', 'essential vitamins']","['Starbucks® Ground Coffee', 'Essential Vitamins']"
"['starbucks® k-cup® coffee', 'essential vitamins']","['Starbucks® K-Cup® Coffee', 'Essential Vitamins']"
['glaceau smartwater 12-pk.'],['Glaceau smartwater 12-pk.']
['glaceau smartwater 6-pk.'],['Glaceau smartwater 6-pk.']
['silk almondmilk half-gallon'],['Silk Almondmilk Half-gallon']
['lucerne cheese 6-8-oz'],['Lucerne Cheese 6-8-oz']
['creamer 32-oz'],['Creamer 32-oz']
"['galbani string', 'cheese 10-12-oz']",['Cheese 10-12-oz']
['dannon greek yogurt 4-pack'],['Dannon Greek Yogurt 4-pack']
['chobani greek yogurt 32-oz'],['Chobani Greek Yogurt 32-oz']
"['danish creamery butter 16-oz', 'spreadable butter ...']","['Danish Creamery Butter 16-oz', 'spreadable butter']"
"['sargento snack bites', 'sargento snack bites']",['Sargento Snack Bites']
[],[]
['natural cheese slices'],['Natural Cheese Slices']
"['blue yogurt', 'blue yogurt cup', 'triple zero']","['Blue Yogurt', 'Blue Yogurt Cup', 'Triple Zero']"
"['frigo® cheese heads® cheese', 'frigo® cheese heads® 8ct', 'snack cheese ...']","['Frigo® Cheese Heads® Cheese', 'Frigo® Cheese Heads® 8ct', 'Snack Cheese']"
"['noosa® yoghurt', 'noosa® yoghurts']","['noosa® Yoghurt', 'noosa® yoghurts']"
['hennessy vs 750-ml'],['Hennessy VS 750-ml']
"['elysian family', 'golden ...']","['Elysian Family', 'Golden']"
"['8-can variety', 'crook ...']","['Crook', '8-can variety']"
"['z wineworks', '750ml bottles', 'z wineworks wine']","['Z Wineworks', '750ml bottles', 'Z Wineworks wine']"
['hard seltzer'],['Hard Seltzer']
"['anheuser-busch multi brand', 'bud light®']",['Anheuser-Busch Multi Brand']
"['erath oregon', '750ml bottles', 'erath oregon ...']","['Erath', '750ml bottles']"
"['anchor steam', 'anchor california lager']",['Anchor Steam']
"['pineapple juice', 'pineapple juice']",['Pineapple Juice']
"['altos™ tequila', 'taco essentials', '750ml bottle ...']","['ALTOS™ Tequila', 'taco essentials', '750ml bottle']"
"['ketel one® botanicals', 'ketel one® botanicals']",['KETEL ONE® BOTANICALS']
"['absolut® vodka', '750ml bottle ...']","['ABSOLUT® VODKA', '750ml bottle']"
"['jameson® irish whiskey', '750ml bottle', 'jameson® irish whiskey']","['JAMESON® Irish Whiskey', '750ml bottle']"
"['beefeater® london dry gin', 'tonic water', '750ml ...']","['BEEFEATER® London Dry Gin', 'tonic water', '750ml']"
"['stella artois®', 'stella artois® products']","['Stella Artois®', 'Stella Artois® products']"
"['tequila avión®', '750ml bottle', 'tequila avión® silver']",['750ml bottle']
['clausthaler beer 6-pack'],['Clausthaler beer 6-Pack']
"[""mike 's"", 'hard lemonade', ""mike 's"", 'hard lemonade']","[""Mike's"", 'Hard Lemonade']"
"['san simeon', 'maddalena wine $', 'purchase ...']","['San Simeon', 'Maddalena Wine', 'purchase']"
['kendall-jackson wine $'],['Kendall-Jackson Wine']
"['pacifico clara', 'pacifico clara ...']",['Pacifico Clara']
['modelo ...'],['Modelo']
